@relation cleaner

@attribute rubbish {blood, cake, coffee, dressing, dust, fungus, glass, glue, grass, ink, lubricant, mud, oil, paper, paste, rot, sand, sauce, water, wine}
@attribute age numeric
@attribute base {floor, wood, carpet, carpetCotton}
@attribute chemicals numeric
@attribute baseState numeric
@attribute isPoisonous {true, false}
@attribute class {airFreshener,alcohol,bakingSoda,cleaningMilk,dishSoap,floorSoap,fumigator,nothing,paste,soap,solvent,spray,vanish,vinegar,washingPowder,water}


cake,10,wood,13,28,false,airFreshener
cake,6,wood,14,99,false,airFreshener
cake,3,wood,5,52,false,airFreshener
cake,2,wood,7,21,false,airFreshener
cake,9,wood,13,75,false,airFreshener
cake,7,wood,20,43,false,airFreshener
cake,5,wood,6,37,false,airFreshener
cake,5,wood,5,46,false,airFreshener
cake,6,wood,19,62,false,airFreshener
cake,10,wood,13,98,false,airFreshener
cake,8,wood,19,69,false,airFreshener
cake,3,wood,13,47,false,airFreshener
cake,6,wood,5,89,false,airFreshener
cake,1,wood,5,78,false,airFreshener
cake,8,wood,12,46,false,airFreshener
cake,6,wood,15,89,false,airFreshener
cake,2,wood,16,57,false,airFreshener
cake,7,wood,10,60,false,airFreshener
cake,4,wood,20,27,false,airFreshener
cake,1,wood,10,89,false,airFreshener
cake,8,wood,20,100,false,airFreshener
cake,10,wood,20,100,false,airFreshener
cake,9,wood,9,78,false,airFreshener
cake,3,wood,20,40,false,airFreshener
cake,3,wood,3,98,false,airFreshener
cake,3,wood,17,26,false,airFreshener
cake,2,wood,4,30,false,airFreshener
cake,7,wood,10,37,false,airFreshener
cake,8,wood,9,69,false,airFreshener
cake,8,wood,8,90,false,airFreshener
cake,6,wood,0,55,false,airFreshener
cake,4,wood,14,49,false,airFreshener
cake,4,wood,6,62,false,airFreshener
cake,7,wood,15,84,false,airFreshener
cake,10,wood,9,79,false,airFreshener
cake,2,wood,14,24,false,airFreshener
cake,7,wood,6,59,false,airFreshener
cake,0,wood,17,29,false,airFreshener
cake,3,wood,16,88,false,airFreshener
cake,7,wood,0,76,false,airFreshener
cake,2,wood,20,83,false,airFreshener
cake,6,wood,10,88,false,airFreshener
cake,0,wood,2,33,false,airFreshener
cake,1,wood,0,23,false,airFreshener
cake,2,wood,14,91,false,airFreshener
